      Comparison1   Comparison2  HMAX_C1_1_Prediction  HMAX_C1_2_Prediction  HMAX_C1_3_Prediction  HMAX_C1_4_Prediction  HMAX_C1_5_Prediction  HMAX_C1_6_Prediction  HMAX_C1_7_Prediction  HMAX_C1_8_Prediction  HMAX_C1_Prediction  HMAX_C2_1_Prediction  HMAX_C2_2_Prediction  HMAX_C2_3_Prediction  HMAX_C2_4_Prediction  HMAX_C2_5_Prediction  HMAX_C2_6_Prediction  HMAX_C2_7_Prediction  HMAX_C2_8_Prediction  HMAX_C2_Prediction
36    o2_t1_cs_d2   o2_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     1                     1                   0
37    o2_t1_cs_d2   o2_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
38    o2_t1_cs_d2   o2_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     0                     1                     1                   1
39    o2_t1_cs_d2   o2_t2_rp_d1                     0                     0                     0                     0                     0                     0                     1                     1                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
40    o2_t1_cs_d2   o2_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     0                     0                     0                     0                   0
41    o2_t2_ap_d1   o2_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     0                     0                     0                   0
42    o2_t2_ap_d1   o2_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     0                   1
43    o2_t2_ap_d1   o2_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     0                     0                     0                   0
44    o2_t2_ap_d1   o2_t2_rp_d1                     0                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     0                   1
45    o2_t2_ap_d1   o2_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     0                     0                     0                     0                   0
46    o2_t2_ap_d2   o2_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
47    o2_t2_ap_d2   o2_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     0                     1                   1
48    o2_t2_ap_d2   o2_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
49    o2_t2_ap_d2   o2_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     0                     0                     0                     0                   0
50    o2_t2_rp_d1   o2_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     1                     0                     0                     0                     0                     0                     0                   0
51    o2_t2_mf_d1   o2_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
52    o2_t2_mf_d1   o2_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     1                     1                     1                     1                     1                     0                   1
53    o2_t2_mf_d1   o2_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     1                     0                     0                     0                     0                     0                     0                   0
54    o2_t2_mf_d2   o2_t2_rp_d1                     0                     0                     0                     0                     1                     1                     1                     1                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
