      Comparison1   Comparison2  TE_DfPS_Prediction  TE_DfP_Prediction  TE_DfS_Prediction  TE_NoCond_Prediction  TE_OnlyDF_Prediction  TE_OnlyP_Prediction  TE_OnlyS_Prediction  TE_VolD_Prediction  TE_VolI_Prediction  VOL_IntDifference_Prediction  VOL_IntDifference_Uncertain_Prediction  VOL_IntRatio_Prediction  VOL_IntRatio_Uncertain_Prediction  VOL_Intersection_Prediction  VOL_Intersection_Uncertain_Prediction
115   o3_t1_cs_d1   o3_t2_ap_d1                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
116   o3_t1_cs_d1   o3_t2_ap_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
117   o3_t1_cs_d1   o3_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 1.0                             1                                       1                        1                                  1                            1                                      1
118   o3_t1_cs_d1   o3_t2_rp_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
119   o3_t1_cs_d2   o3_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
120   o3_t1_cs_d2   o3_t2_mf_d1                 1.0                1.0                0.5                   0.5                   1.0                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
121   o3_t1_cs_d2   o3_t2_mf_d2                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
122   o3_t1_cs_d2   o3_t2_ap_d1                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   0                 1.0                             0                                       1                        0                                  1                            0                                      0
123   o3_t1_cs_d2   o3_t2_ap_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   0                 1.0                             0                                       1                        0                                  1                            0                                      0
124   o3_t1_cs_d2   o3_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
125   o3_t1_cs_d2   o3_t2_rp_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
126   o3_t2_mf_d1   o3_t1_cs_d1                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
127   o3_t2_mf_d1   o3_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.0                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
128   o3_t2_mf_d1   o3_t2_mf_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
129   o3_t2_mf_d1   o3_t2_ap_d1                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
130   o3_t2_mf_d1   o3_t2_ap_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
131   o3_t2_mf_d1   o3_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      1
132   o3_t2_mf_d1   o3_t2_rp_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
133   o3_t2_mf_d2   o3_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
134   o3_t2_mf_d2   o3_t1_cs_d2                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
135   o3_t2_mf_d2   o3_t2_mf_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
136   o3_t2_mf_d2   o3_t2_ap_d1                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
137   o3_t2_mf_d2   o3_t2_ap_d2                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
138   o3_t2_mf_d2   o3_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
139   o3_t2_mf_d2   o3_t2_rp_d2                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
140   o3_t2_ap_d1   o3_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
141   o3_t2_ap_d1   o3_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   1                 0.0                             1                                       0                        1                                  0                            1                                      1
142   o3_t2_ap_d1   o3_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
143   o3_t2_ap_d1   o3_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
144   o3_t2_ap_d1   o3_t2_ap_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       1                        0                                  1                            0                                      1
145   o3_t2_ap_d1   o3_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
146   o3_t2_ap_d1   o3_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       0                        1                                  0                            1                                      1
147   o3_t2_ap_d2   o3_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
148   o3_t2_ap_d2   o3_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   1                 0.0                             1                                       0                        1                                  0                            1                                      1
149   o3_t2_ap_d2   o3_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
150   o3_t2_ap_d2   o3_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
151   o3_t2_ap_d2   o3_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       0                        1                                  0                            0                                      0
152   o3_t2_ap_d2   o3_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
153   o3_t2_ap_d2   o3_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       0                        1                                  0                            1                                      1
154   o3_t2_rp_d1   o3_t1_cs_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.0                             0                                       0                        0                                  0                            0                                      0
155   o3_t2_rp_d1   o3_t1_cs_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
156   o3_t2_rp_d1   o3_t2_mf_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            0                                      0
157   o3_t2_rp_d1   o3_t2_mf_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
158   o3_t2_rp_d1   o3_t2_ap_d1                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
159   o3_t2_rp_d1   o3_t2_ap_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
160   o3_t2_rp_d1   o3_t2_rp_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
161   o3_t2_rp_d2   o3_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
162   o3_t2_rp_d2   o3_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
163   o3_t2_rp_d2   o3_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
164   o3_t2_rp_d2   o3_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            0                                      1
165   o3_t2_rp_d2   o3_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       1                        0                                  1                            0                                      0
166   o3_t2_rp_d2   o3_t2_ap_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       1                        0                                  1                            0                                      0
167   o3_t2_rp_d2   o3_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
168   o4_t1_cs_d1   o4_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  1                            1                                      1
169   o4_t1_cs_d1   o4_t2_mf_d1                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
170   o4_t1_cs_d1   o4_t2_mf_d2                 0.0                0.0                0.5                   0.5                   1.0                  0.0                  0.0                   0                 0.0                             1                                       1                        1                                  1                            1                                      1
171   o4_t1_cs_d1   o4_t2_ap_d1                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      1
172   o4_t1_cs_d1   o4_t2_ap_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      1
173   o4_t1_cs_d1   o4_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 1.0                             0                                       1                        1                                  1                            1                                      1
174   o4_t1_cs_d1   o4_t2_rp_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       1                        0                                  1                            1                                      1
175   o4_t1_cs_d2   o4_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  0                            0                                      0
176   o4_t1_cs_d2   o4_t2_mf_d1                 1.0                1.0                0.5                   0.5                   1.0                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
177   o4_t1_cs_d2   o4_t2_mf_d2                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
178   o4_t1_cs_d2   o4_t2_ap_d1                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   0                 1.0                             0                                       0                        0                                  0                            0                                      0
179   o4_t1_cs_d2   o4_t2_ap_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   0                 1.0                             0                                       0                        0                                  0                            0                                      0
180   o4_t1_cs_d2   o4_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
181   o4_t1_cs_d2   o4_t2_rp_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
182   o4_t2_mf_d1   o4_t1_cs_d1                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
183   o4_t2_mf_d1   o4_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.0                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
184   o4_t2_mf_d1   o4_t2_mf_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       1                        0                                  1                            0                                      1
185   o4_t2_mf_d1   o4_t2_ap_d1                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
186   o4_t2_mf_d1   o4_t2_ap_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
187   o4_t2_mf_d1   o4_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 1.0                             0                                       0                        0                                  0                            1                                      1
188   o4_t2_mf_d1   o4_t2_rp_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      1
189   o4_t2_mf_d2   o4_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.0                  1.0                  1.0                   1                 1.0                             0                                       0                        0                                  0                            0                                      0
190   o4_t2_mf_d2   o4_t1_cs_d2                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
191   o4_t2_mf_d2   o4_t2_mf_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       0                        1                                  0                            1                                      0
192   o4_t2_mf_d2   o4_t2_ap_d1                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
193   o4_t2_mf_d2   o4_t2_ap_d2                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
194   o4_t2_mf_d2   o4_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   0                 1.0                             0                                       0                        0                                  0                            1                                      1
195   o4_t2_mf_d2   o4_t2_rp_d2                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      1
196   o4_t2_ap_d1   o4_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      0
197   o4_t2_ap_d1   o4_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   1                 0.0                             1                                       1                        1                                  1                            1                                      1
198   o4_t2_ap_d1   o4_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
199   o4_t2_ap_d1   o4_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
200   o4_t2_ap_d1   o4_t2_ap_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
201   o4_t2_ap_d1   o4_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
202   o4_t2_ap_d1   o4_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
203   o4_t2_ap_d2   o4_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      0
204   o4_t2_ap_d2   o4_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   1                 0.0                             1                                       1                        1                                  1                            1                                      1
205   o4_t2_ap_d2   o4_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
206   o4_t2_ap_d2   o4_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
207   o4_t2_ap_d2   o4_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            0                                      1
208   o4_t2_ap_d2   o4_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
209   o4_t2_ap_d2   o4_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
210   o4_t2_rp_d1   o4_t1_cs_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.0                             1                                       0                        0                                  0                            0                                      0
211   o4_t2_rp_d1   o4_t1_cs_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
212   o4_t2_rp_d1   o4_t2_mf_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.0                             1                                       1                        1                                  1                            0                                      0
213   o4_t2_rp_d1   o4_t2_mf_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   1                 0.0                             1                                       1                        1                                  1                            0                                      0
214   o4_t2_rp_d1   o4_t2_ap_d1                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
215   o4_t2_rp_d1   o4_t2_ap_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
216   o4_t2_rp_d1   o4_t2_rp_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
217   o4_t2_rp_d2   o4_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       0                        1                                  0                            0                                      0
218   o4_t2_rp_d2   o4_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
219   o4_t2_rp_d2   o4_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      0
220   o4_t2_rp_d2   o4_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            0                                      0
221   o4_t2_rp_d2   o4_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
222   o4_t2_rp_d2   o4_t2_ap_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
223   o4_t2_rp_d2   o4_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
