      Comparison1   Comparison2  TE_DfPS_Prediction  TE_DfP_Prediction  TE_DfS_Prediction  TE_NoCond_Prediction  TE_OnlyDF_Prediction  TE_OnlyP_Prediction  TE_OnlyS_Prediction  TE_VolD_Prediction  TE_VolI_Prediction  VOL_IntDifference_Prediction  VOL_IntDifference_Uncertain_Prediction  VOL_IntRatio_Prediction  VOL_IntRatio_Uncertain_Prediction  VOL_Intersection_Prediction  VOL_Intersection_Uncertain_Prediction
33    o1_t2_ap_d1   o1_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
34    o1_t2_ap_d1   o1_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
35    o1_t2_ap_d2   o1_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      0
36    o1_t2_ap_d2   o1_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   1                 0.0                             1                                       1                        1                                  1                            0                                      0
37    o1_t2_ap_d2   o1_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
38    o1_t2_ap_d2   o1_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
39    o1_t2_ap_d2   o1_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            0                                      0
40    o1_t2_ap_d2   o1_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
41    o1_t2_ap_d2   o1_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
42    o1_t2_rp_d1   o1_t1_cs_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
