,Accuracy,AccuracySD,C,model_name,nfolds,pca,subject_data_file,threshold
48,0.561741474529,0.0907369266143,1.0,"('googlenet', 'pool1_norm1')",50,,HumanPredictions_20151118.txt,0.8
49,0.548512766961,0.11116075956,1.0,"('googlenet', 'conv2_norm2')",50,,HumanPredictions_20151118.txt,0.8
50,0.515098802668,0.128836744715,1.0,"('googlenet', 'inception_3a_output')",50,,HumanPredictions_20151118.txt,0.8
51,0.491025539323,0.0903930846269,1.0,"('googlenet', 'inception_3b_output')",50,,HumanPredictions_20151118.txt,0.8
52,0.517485743214,0.111271188608,1.0,"('googlenet', 'pool3_3x3_s2')",50,,HumanPredictions_20151118.txt,0.8
53,0.562959995927,0.114606017585,1.0,"('googlenet', 'inception_4a_output')",50,,HumanPredictions_20151118.txt,0.8
54,0.474597256707,0.106925604789,1.0,"('googlenet', 'inception_4b_output')",50,,HumanPredictions_20151118.txt,0.8
55,0.464945160206,0.101829960719,1.0,"('googlenet', 'inception_4c_output')",50,,HumanPredictions_20151118.txt,0.8
56,0.486772963449,0.144595567952,1.0,"('googlenet', 'inception_4d_output')",50,,HumanPredictions_20151118.txt,0.8
57,0.494547421121,0.119792569187,1.0,"('googlenet', 'inception_4e_output')",50,,HumanPredictions_20151118.txt,0.8
58,0.567856940702,0.113551393642,1.0,"('googlenet', 'pool4_3x3_s2')",50,,HumanPredictions_20151118.txt,0.8
59,0.619688917021,0.0989285658701,1.0,"('googlenet', 'inception_5a_output')",50,,HumanPredictions_20151118.txt,0.8
60,0.611822097467,0.0959834894041,1.0,"('googlenet', 'inception_5b_output')",50,,HumanPredictions_20151118.txt,0.8
61,0.627024117255,0.126359157165,1.0,"('googlenet', 'prob')",50,,HumanPredictions_20151118.txt,0.8
62,0.495476190476,0.0663636822516,1.0,"('pb', '')",50,True,HumanPredictions_20151118.txt,0.5
63,0.489761904762,0.0626335308255,1.0,"('alexnet', 'conv1')",50,True,HumanPredictions_20151118.txt,0.5
