,Accuracy,AccuracySD,C,method,model_name,nfolds,normalize,pca,rank,subject_data_file,threshold
43,0.573885172165,0.162033032835,1.0,,"('alexnet', 'fc7')",50,False,True,,HumanPredictions_20151118.txt,0.8
44,0.439259801541,0.162696725471,1.0,,"('alexnet', 'fc8')",50,False,True,,HumanPredictions_20151118.txt,0.8
45,0.670242793927,0.0637864362197,1.0,,"('alexnet', 'prob')",50,False,True,,HumanPredictions_20151118.txt,0.8
46,0.52970464176,0.121982462008,1.0,,"('googlenet', 'pool1_norm1')",50,False,True,,HumanPredictions_20151118.txt,0.8
47,0.474527463722,0.130168906221,1.0,,"('googlenet', 'conv2_norm2')",50,False,True,,HumanPredictions_20151118.txt,0.8
48,0.481214103788,0.135746178575,1.0,,"('googlenet', 'inception_3a_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
49,0.542602589902,0.12746853616,1.0,,"('googlenet', 'inception_3b_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
50,0.472234787533,0.121321891048,1.0,,"('googlenet', 'pool3_3x3_s2')",50,False,True,,HumanPredictions_20151118.txt,0.8
51,0.513110472899,0.104893600067,1.0,,"('googlenet', 'inception_4a_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
52,0.463992277313,0.153354903685,1.0,,"('googlenet', 'inception_4b_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
53,0.583266864362,0.114792106119,1.0,,"('googlenet', 'inception_4c_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
54,0.538285235919,0.120269288242,1.0,,"('googlenet', 'inception_4d_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
55,0.486296350012,0.148018246839,1.0,,"('googlenet', 'inception_4e_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
56,0.592195887112,0.108109156107,1.0,,"('googlenet', 'pool4_3x3_s2')",50,False,True,,HumanPredictions_20151118.txt,0.8
57,0.615707790323,0.131529657355,1.0,,"('googlenet', 'inception_5a_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
58,0.676271009794,0.101481422923,1.0,,"('googlenet', 'inception_5b_output')",50,False,True,,HumanPredictions_20151118.txt,0.8
59,0.572112726202,0.128874057905,1.0,,"('googlenet', 'pool5_7x7_s1')",50,False,True,,HumanPredictions_20151118.txt,0.8
60,0.625970345815,0.144175979997,1.0,,"('googlenet', 'loss3_classifier')",50,False,True,,HumanPredictions_20151118.txt,0.8
61,0.593279916577,0.0554472065469,1.0,,"('googlenet', 'prob')",50,False,True,,HumanPredictions_20151118.txt,0.8
62,0.51,0.087590575084,1.0,,"('pb', '')",50,True,True,,HumanPredictions_20151118.txt,0.5
63,0.489285714286,0.0722669057656,1.0,,"('alexnet', 'conv1')",50,True,True,,HumanPredictions_20151118.txt,0.5
64,0.471428571429,0.0716267093166,1.0,,"('alexnet', 'pool1')",50,True,True,,HumanPredictions_20151118.txt,0.5
65,0.511666666667,0.0682420163031,1.0,,"('alexnet', 'norm1')",50,True,True,,HumanPredictions_20151118.txt,0.5
66,0.52880952381,0.0654692637029,1.0,,"('alexnet', 'conv2')",50,True,True,,HumanPredictions_20151118.txt,0.5
67,0.52380952381,0.0579310717171,1.0,,"('alexnet', 'pool2')",50,True,True,,HumanPredictions_20151118.txt,0.5
68,0.497380952381,0.071241421491,1.0,,"('alexnet', 'norm2')",50,True,True,,HumanPredictions_20151118.txt,0.5
69,0.496666666667,0.0846842876302,1.0,,"('alexnet', 'conv3')",50,True,True,,HumanPredictions_20151118.txt,0.5
70,0.486666666667,0.0752034278179,1.0,,"('alexnet', 'conv4')",50,True,True,,HumanPredictions_20151118.txt,0.5
71,0.496428571429,0.070439581869,1.0,,"('alexnet', 'conv5')",50,True,True,,HumanPredictions_20151118.txt,0.5
72,0.499285714286,0.0757954790771,1.0,,"('alexnet', 'pool5')",50,True,True,,HumanPredictions_20151118.txt,0.5
73,0.534047619048,0.0742311307402,1.0,,"('alexnet', 'fc6')",50,True,True,,HumanPredictions_20151118.txt,0.5
74,0.539761904762,0.0773941380707,1.0,,"('alexnet', 'fc7')",50,True,True,,HumanPredictions_20151118.txt,0.5
75,0.560238095238,0.083211134895,1.0,,"('alexnet', 'fc8')",50,True,True,,HumanPredictions_20151118.txt,0.5
76,0.518333333333,0.0794756769078,1.0,,"('alexnet', 'prob')",50,True,True,,HumanPredictions_20151118.txt,0.5
77,0.439761904762,0.0753829978966,1.0,,"('googlenet', 'pool1_norm1')",50,True,True,,HumanPredictions_20151118.txt,0.5
78,0.480714285714,0.0724877814397,1.0,,"('googlenet', 'conv2_norm2')",50,True,True,,HumanPredictions_20151118.txt,0.5
79,0.500714285714,0.0760940610196,1.0,,"('googlenet', 'inception_3a_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
80,0.459047619048,0.0801132984564,1.0,,"('googlenet', 'inception_3b_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
81,0.488333333333,0.0831797905204,1.0,,"('googlenet', 'pool3_3x3_s2')",50,True,True,,HumanPredictions_20151118.txt,0.5
82,0.529523809524,0.0713984063289,1.0,,"('googlenet', 'inception_4a_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
83,0.499047619048,0.0809817873761,1.0,,"('googlenet', 'inception_4b_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
84,0.517380952381,0.0690972727868,1.0,,"('googlenet', 'inception_4c_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
85,0.494285714286,0.0635424403321,1.0,,"('googlenet', 'inception_4d_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
86,0.489523809524,0.0855699843533,1.0,,"('googlenet', 'inception_4e_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
87,0.486904761905,0.0673119283011,1.0,,"('googlenet', 'pool4_3x3_s2')",50,True,True,,HumanPredictions_20151118.txt,0.5
88,0.59,0.078865251481,1.0,,"('googlenet', 'inception_5a_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
89,0.557380952381,0.0729477339064,1.0,,"('googlenet', 'inception_5b_output')",50,True,True,,HumanPredictions_20151118.txt,0.5
90,0.535714285714,0.093949617414,1.0,,"('googlenet', 'pool5_7x7_s1')",50,True,True,,HumanPredictions_20151118.txt,0.5
91,0.582619047619,0.0839571886369,1.0,,"('googlenet', 'loss3_classifier')",50,True,True,,HumanPredictions_20151118.txt,0.5
92,0.524523809524,0.0618319168476,1.0,,"('googlenet', 'prob')",50,True,True,,HumanPredictions_20151118.txt,0.5
93,0.520677168304,0.123584221979,1.0,,"('pb', '')",50,True,True,,HumanPredictions_20151118.txt,0.8
94,0.423252326932,0.122739381726,1.0,,"('alexnet', 'conv1')",50,True,True,,HumanPredictions_20151118.txt,0.8
95,0.525934163476,0.11789056264,1.0,,"('alexnet', 'pool1')",50,True,True,,HumanPredictions_20151118.txt,0.8
96,0.634762724413,0.14102041948,1.0,,"('alexnet', 'norm1')",50,True,True,,HumanPredictions_20151118.txt,0.8
97,0.563830855124,0.143838272246,1.0,,"('alexnet', 'conv2')",50,True,True,,HumanPredictions_20151118.txt,0.8
98,0.511774814714,0.1087139631,1.0,,"('alexnet', 'pool2')",50,True,True,,HumanPredictions_20151118.txt,0.8
99,0.464275460008,0.110123655026,1.0,,"('alexnet', 'norm2')",50,True,True,,HumanPredictions_20151118.txt,0.8
100,0.570207073681,0.111369656965,1.0,,"('alexnet', 'conv3')",50,True,True,,HumanPredictions_20151118.txt,0.8
101,0.433702333332,0.112888643393,1.0,,"('alexnet', 'conv4')",50,True,True,,HumanPredictions_20151118.txt,0.8
102,0.530962610875,0.130876081512,1.0,,"('alexnet', 'conv5')",50,True,True,,HumanPredictions_20151118.txt,0.8
103,0.525804470886,0.0982664897803,1.0,,"('alexnet', 'pool5')",50,True,True,,HumanPredictions_20151118.txt,0.8
104,0.577076492113,0.0940556232899,1.0,,"('alexnet', 'fc6')",50,True,True,,HumanPredictions_20151118.txt,0.8
105,0.619933500702,0.094889894648,1.0,,"('alexnet', 'fc7')",50,True,True,,HumanPredictions_20151118.txt,0.8
106,0.540854116925,0.102930637753,1.0,,"('alexnet', 'fc8')",50,True,True,,HumanPredictions_20151118.txt,0.8
107,0.636201131538,0.0691351011938,1.0,,"('alexnet', 'prob')",50,True,True,,HumanPredictions_20151118.txt,0.8
108,0.486756483813,0.143430324911,1.0,,"('googlenet', 'pool1_norm1')",50,True,True,,HumanPredictions_20151118.txt,0.8
109,0.483756635339,0.133184079641,1.0,,"('googlenet', 'conv2_norm2')",50,True,True,,HumanPredictions_20151118.txt,0.8
110,0.506720602083,0.112466731826,1.0,,"('googlenet', 'inception_3a_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
111,0.518466032974,0.173356932065,1.0,,"('googlenet', 'inception_3b_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
112,0.466487946676,0.128378231019,1.0,,"('googlenet', 'pool3_3x3_s2')",50,True,True,,HumanPredictions_20151118.txt,0.8
113,0.562626162962,0.122077219336,1.0,,"('googlenet', 'inception_4a_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
114,0.513711363294,0.124413396229,1.0,,"('googlenet', 'inception_4b_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
115,0.616033064606,0.108916764204,1.0,,"('googlenet', 'inception_4c_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
116,0.509623919492,0.0983384694769,1.0,,"('googlenet', 'inception_4d_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
117,0.530007231749,0.137578661341,1.0,,"('googlenet', 'inception_4e_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
118,0.621996288052,0.109428323914,1.0,,"('googlenet', 'pool4_3x3_s2')",50,True,True,,HumanPredictions_20151118.txt,0.8
119,0.626269600096,0.0848968927945,1.0,,"('googlenet', 'inception_5a_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
120,0.636822922203,0.0990062580798,1.0,,"('googlenet', 'inception_5b_output')",50,True,True,,HumanPredictions_20151118.txt,0.8
121,0.645207416681,0.115205839103,1.0,,"('googlenet', 'pool5_7x7_s1')",50,True,True,,HumanPredictions_20151118.txt,0.8
122,0.654646645766,0.124435248359,1.0,,"('googlenet', 'loss3_classifier')",50,True,True,,HumanPredictions_20151118.txt,0.8
123,0.570197702177,0.137095343705,1.0,,"('googlenet', 'prob')",50,True,True,,HumanPredictions_20151118.txt,0.8
124,0.562142857143,0.0900456548349,1.0,low_rank,"('pb', '')",50,False,True,5.0,HumanPredictions_20151118.txt,0.5
125,0.624251424546,0.139050200841,1.0,low_rank,"('pb', '')",50,False,True,5.0,HumanPredictions_20151118.txt,0.8
126,0.515476190476,0.0794414315272,1.0,low_rank,"('alexnet', 'conv1')",50,False,True,5.0,HumanPredictions_20151118.txt,0.5
