      Comparison1   Comparison2  Align_NoAlignment_Prediction  Align_AffineImage_Prediction  Align_AffineFeature_Prediction  Align_CenteredScaled_Prediction
71    o3_t2_ap_d1   o3_t2_mf_d2                             0                             0                               0                                0
72    o3_t2_ap_d1   o3_t2_rp_d1                             1                             0                               1                                0
73    o3_t2_ap_d1   o3_t2_rp_d2                             1                             0                               1                                0
74    o3_t2_ap_d2   o3_t2_mf_d1                             0                             0                               0                                0
75    o3_t2_ap_d2   o3_t2_mf_d2                             1                             1                               1                                0
76    o3_t2_ap_d2   o3_t2_rp_d1                             1                             0                               1                                0
77    o3_t2_ap_d2   o3_t2_rp_d2                             1                             0                               1                                0
78    o3_t2_mf_d1   o3_t2_mf_d2                             1                             1                               1                                1
79    o3_t2_mf_d1   o3_t2_rp_d1                             1                             0                               1                                0
80    o3_t2_mf_d1   o3_t2_rp_d2                             1                             1                               1                                1
81    o3_t2_mf_d2   o3_t2_rp_d1                             1                             0                               1                                0
82    o3_t2_mf_d2   o3_t2_rp_d2                             1                             0                               1                                0
83    o3_t2_rp_d1   o3_t2_rp_d2                             0                             1                               0                                1
84    o4_t1_cs_d1   o4_t1_cs_d2                             0                             1                               0                                0
85    o4_t1_cs_d1   o4_t2_ap_d1                             0                             1                               1                                1
86    o4_t1_cs_d1   o4_t2_ap_d2                             0                             1                               0                                0
87    o4_t1_cs_d1   o4_t2_mf_d1                             1                             1                               1                                1
88    o4_t1_cs_d1   o4_t2_mf_d2                             0                             1                               0                                0
89    o4_t1_cs_d1   o4_t2_rp_d1                             1                             0                               1                                0
90    o4_t1_cs_d1   o4_t2_rp_d2                             0                             1                               0                                0
91    o4_t1_cs_d2   o4_t2_ap_d1                             1                             1                               1                                1
92    o4_t1_cs_d2   o4_t2_ap_d2                             0                             1                               0                                0
93    o4_t1_cs_d2   o4_t2_mf_d1                             1                             1                               1                                1
94    o4_t1_cs_d2   o4_t2_mf_d2                             0                             1                               1                                0
95    o4_t1_cs_d2   o4_t2_rp_d1                             1                             0                               1                                0
96    o4_t1_cs_d2   o4_t2_rp_d2                             1                             1                               1                                1
97    o4_t2_ap_d1   o4_t2_ap_d2                             0                             0                               0                                0
98    o4_t2_ap_d1   o4_t2_mf_d1                             1                             0                               1                                1
99    o4_t2_ap_d1   o4_t2_mf_d2                             0                             0                               0                                0
100   o4_t2_ap_d1   o4_t2_rp_d1                             1                             0                               1                                0
101   o4_t2_ap_d1   o4_t2_rp_d2                             1                             0                               0                                0
102   o4_t2_ap_d2   o4_t2_mf_d1                             1                             0                               1                                1
103   o4_t2_ap_d2   o4_t2_mf_d2                             1                             0                               1                                1
104   o4_t2_ap_d2   o4_t2_rp_d1                             1                             0                               1                                0
105   o4_t2_ap_d2   o4_t2_rp_d2                             1                             0                               1                                1
106   o4_t2_mf_d1   o4_t2_mf_d2                             0                             1                               0                                0
107   o4_t2_mf_d1   o4_t2_rp_d1                             1                             0                               1                                0
108   o4_t2_mf_d1   o4_t2_rp_d2                             0                             1                               0                                0
109   o4_t2_mf_d2   o4_t2_rp_d1                             1                             0                               1                                0
110   o4_t2_mf_d2   o4_t2_rp_d2                             1                             0                               1                                1
111   o4_t2_rp_d1   o4_t2_rp_d2                             0                             1                               0                                1
112   o5_t1_cs_d1   o5_t1_cs_d2                             1                             1                               1                                1
113   o5_t1_cs_d1   o5_t2_ap_d1                             0                             1                               0                                0
114   o5_t1_cs_d1   o5_t2_ap_d2                             1                             1                               1                                0
115   o5_t1_cs_d1   o5_t2_mf_d1                             0                             1                               0                                0
116   o5_t1_cs_d1   o5_t2_mf_d2                             1                             1                               1                                1
117   o5_t1_cs_d1   o5_t2_rp_d1                             1                             1                               1                                0
118   o5_t1_cs_d1   o5_t2_rp_d2                             1                             1                               1                                0
119   o5_t1_cs_d2   o5_t2_ap_d1                             0                             1                               0                                0
120   o5_t1_cs_d2   o5_t2_ap_d2                             0                             1                               0                                0
121   o5_t1_cs_d2   o5_t2_mf_d1                             0                             0                               0                                0
122   o5_t1_cs_d2   o5_t2_mf_d2                             1                             0                               1                                1
123   o5_t1_cs_d2   o5_t2_rp_d1                             0                             0                               0                                0
124   o5_t1_cs_d2   o5_t2_rp_d2                             0                             0                               0                                0
125   o5_t2_ap_d1   o5_t2_ap_d2                             1                             1                               1                                1
126   o5_t2_ap_d1   o5_t2_mf_d1                             1                             0                               1                                1
127   o5_t2_ap_d1   o5_t2_mf_d2                             1                             0                               1                                1
128   o5_t2_ap_d1   o5_t2_rp_d1                             1                             0                               1                                1
129   o5_t2_ap_d1   o5_t2_rp_d2                             1                             0                               1                                1
130   o5_t2_ap_d2   o5_t2_mf_d1                             0                             0                               0                                1
131   o5_t2_ap_d2   o5_t2_mf_d2                             1                             0                               1                                1
132   o5_t2_ap_d2   o5_t2_rp_d1                             1                             0                               1                                0
133   o5_t2_ap_d2   o5_t2_rp_d2                             0                             0                               0                                0
134   o5_t2_mf_d1   o5_t2_mf_d2                             1                             1                               1                                1
135   o5_t2_mf_d1   o5_t2_rp_d1                             1                             0                               1                                0
136   o5_t2_mf_d1   o5_t2_rp_d2                             1                             0                               1                                0
137   o5_t2_mf_d2   o5_t2_rp_d1                             0                             0                               0                                0
138   o5_t2_mf_d2   o5_t2_rp_d2                             0                             0                               0                                0
139   o5_t2_rp_d1   o5_t2_rp_d2                             0                             1                               0                                1
140   o6_t1_cs_d1   o6_t1_cs_d2                             1                             1                               1                                1
141   o6_t1_cs_d1   o6_t2_ap_d1                             1                             1                               1                                1
142   o6_t1_cs_d1   o6_t2_ap_d2                             1                             1                               1                                1
143   o6_t1_cs_d1   o6_t2_mf_d1                             1                             1                               1                                1
144   o6_t1_cs_d1   o6_t2_mf_d2                             1                             1                               1                                1
145   o6_t1_cs_d1   o6_t2_rp_d1                             1                             1                               1                                1
146   o6_t1_cs_d1   o6_t2_rp_d2                             0                             1                               0                                0
147   o6_t1_cs_d2   o6_t2_ap_d1                             1                             1                               1                                1
148   o6_t1_cs_d2   o6_t2_ap_d2                             1                             1                               1                                1
149   o6_t1_cs_d2   o6_t2_mf_d1                             1                             1                               1                                1
150   o6_t1_cs_d2   o6_t2_mf_d2                             1                             1                               1                                0
151   o6_t1_cs_d2   o6_t2_rp_d1                             1                             0                               1                                1
152   o6_t1_cs_d2   o6_t2_rp_d2                             0                             1                               0                                0
153   o6_t2_ap_d1   o6_t2_ap_d2                             1                             1                               1                                1
