    Target   Comparison1   Comparison2  AlexNet_conv1  AlexNet_conv2  AlexNet_conv3  AlexNet_conv4  AlexNet_conv5  AlexNet_fc6  AlexNet_fc7  AlexNet_fc8  AlexNet_norm1  AlexNet_norm2  AlexNet_pool1  AlexNet_pool2  AlexNet_pool5  AlexNet_prob
53     o10  o10_t2_mf_d2  o10_t2_rp_d1              0              1              1              1              1            1            0            1              1              1              0              1              1             1
54     o10  o10_t2_mf_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
55     o10  o10_t2_rp_d1  o10_t2_rp_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
56      o2   o2_t1_cs_d1   o2_t1_cs_d2              0              0              0              1              0            0            0            0              0              0              1              0              0             0
57      o2   o2_t1_cs_d1   o2_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
58      o2   o2_t1_cs_d1   o2_t2_ap_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             0
59      o2   o2_t1_cs_d1   o2_t2_mf_d1              0              0              0              1              1            0            0            0              0              0              0              0              0             0
60      o2   o2_t1_cs_d1   o2_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
61      o2   o2_t1_cs_d1   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
62      o2   o2_t1_cs_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
63      o2   o2_t1_cs_d2   o2_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
64      o2   o2_t1_cs_d2   o2_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
65      o2   o2_t1_cs_d2   o2_t2_mf_d1              0              1              1              1              1            0            1            1              1              1              0              1              0             1
66      o2   o2_t1_cs_d2   o2_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
67      o2   o2_t1_cs_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
68      o2   o2_t1_cs_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
69      o2   o2_t2_ap_d1   o2_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
70      o2   o2_t2_ap_d1   o2_t2_mf_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             1
71      o2   o2_t2_ap_d1   o2_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
72      o2   o2_t2_ap_d1   o2_t2_rp_d1              0              0              1              1              1            1            1            1              1              1              0              1              1             1
73      o2   o2_t2_ap_d1   o2_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
74      o2   o2_t2_ap_d2   o2_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
75      o2   o2_t2_ap_d2   o2_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
76      o2   o2_t2_ap_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
77      o2   o2_t2_ap_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
78      o2   o2_t2_mf_d1   o2_t2_mf_d2              1              0              0              0              0            1            1            1              0              0              0              0              0             0
79      o2   o2_t2_mf_d1   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
80      o2   o2_t2_mf_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
81      o2   o2_t2_mf_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              1              0              1              1             1
82      o2   o2_t2_mf_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
83      o2   o2_t2_rp_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
84      o3   o3_t1_cs_d1   o3_t1_cs_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
85      o3   o3_t1_cs_d1   o3_t2_ap_d1              0              0              0              0              0            0            1            1              0              1              0              1              0             1
86      o3   o3_t1_cs_d1   o3_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
87      o3   o3_t1_cs_d1   o3_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
88      o3   o3_t1_cs_d1   o3_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
89      o3   o3_t1_cs_d1   o3_t2_rp_d1              1              0              0              0              0            0            0            0              0              0              0              0              0             1
90      o3   o3_t1_cs_d1   o3_t2_rp_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
91      o3   o3_t1_cs_d2   o3_t2_ap_d1              0              0              1              1              0            0            1            0              1              1              0              1              0             1
92      o3   o3_t1_cs_d2   o3_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
93      o3   o3_t1_cs_d2   o3_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
94      o3   o3_t1_cs_d2   o3_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
95      o3   o3_t1_cs_d2   o3_t2_rp_d1              1              0              0              0              0            0            0            0              0              0              0              0              0             1
96      o3   o3_t1_cs_d2   o3_t2_rp_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
97      o3   o3_t2_ap_d1   o3_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
98      o3   o3_t2_ap_d1   o3_t2_mf_d1              1              0              0              0              0            0            0            0              0              0              0              0              0             1
99      o3   o3_t2_ap_d1   o3_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
100     o3   o3_t2_ap_d1   o3_t2_rp_d1              1              0              0              0              0            0            0            0              0              0              1              0              0             1
101     o3   o3_t2_ap_d1   o3_t2_rp_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
102     o3   o3_t2_ap_d2   o3_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
103     o3   o3_t2_ap_d2   o3_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
104     o3   o3_t2_ap_d2   o3_t2_rp_d1              1              1              0              0              0            0            0            0              1              0              1              0              0             1
105     o3   o3_t2_ap_d2   o3_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              0             0
106     o3   o3_t2_mf_d1   o3_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
107     o3   o3_t2_mf_d1   o3_t2_rp_d1              1              1              0              0              0            0            0            0              1              0              1              0              0             1
108     o3   o3_t2_mf_d1   o3_t2_rp_d2              1              1              1              1              0            0            0            0              1              1              1              1              0             0
109     o3   o3_t2_mf_d2   o3_t2_rp_d1              1              1              0              0              0            0            0            0              1              0              1              0              0             1
110     o3   o3_t2_mf_d2   o3_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             0
111     o3   o3_t2_rp_d1   o3_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
112     o4   o4_t1_cs_d1   o4_t1_cs_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
113     o4   o4_t1_cs_d1   o4_t2_ap_d1              0              0              1              1              1            1            1            1              0              1              1              1              1             0
114     o4   o4_t1_cs_d1   o4_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
115     o4   o4_t1_cs_d1   o4_t2_mf_d1              0              0              0              0              0            0            0            1              0              0              0              0              0             0
116     o4   o4_t1_cs_d1   o4_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              1             0
117     o4   o4_t1_cs_d1   o4_t2_rp_d1              0              0              0              0              0            0            0            1              0              0              0              0              0             0
118     o4   o4_t1_cs_d1   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
119     o4   o4_t1_cs_d2   o4_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
120     o4   o4_t1_cs_d2   o4_t2_ap_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
121     o4   o4_t1_cs_d2   o4_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
122     o4   o4_t1_cs_d2   o4_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
123     o4   o4_t1_cs_d2   o4_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
124     o4   o4_t1_cs_d2   o4_t2_rp_d2              1              1              0              1              0            1            1            1              1              0              0              0              0             1
125     o4   o4_t2_ap_d1   o4_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
126     o4   o4_t2_ap_d1   o4_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
127     o4   o4_t2_ap_d1   o4_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
128     o4   o4_t2_ap_d1   o4_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
129     o4   o4_t2_ap_d1   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
130     o4   o4_t2_ap_d2   o4_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
131     o4   o4_t2_ap_d2   o4_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
132     o4   o4_t2_ap_d2   o4_t2_rp_d1              0              0              0              0              1            1            1            1              0              0              1              0              1             1
133     o4   o4_t2_ap_d2   o4_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
134     o4   o4_t2_mf_d1   o4_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
135     o4   o4_t2_mf_d1   o4_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
136     o4   o4_t2_mf_d1   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
137     o4   o4_t2_mf_d2   o4_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
138     o4   o4_t2_mf_d2   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
139     o4   o4_t2_rp_d1   o4_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             1
140     o5   o5_t1_cs_d1   o5_t1_cs_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
141     o5   o5_t1_cs_d1   o5_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
142     o5   o5_t1_cs_d1   o5_t2_ap_d2              0              0              0              0              0            0            0            0              1              0              0              0              0             0
143     o5   o5_t1_cs_d1   o5_t2_mf_d1              0              0              1              1              1            1            1            1              0              1              0              1              1             0
144     o5   o5_t1_cs_d1   o5_t2_mf_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
145     o5   o5_t1_cs_d1   o5_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
146     o5   o5_t1_cs_d1   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
147     o5   o5_t1_cs_d2   o5_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
148     o5   o5_t1_cs_d2   o5_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
149     o5   o5_t1_cs_d2   o5_t2_mf_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
150     o5   o5_t1_cs_d2   o5_t2_mf_d2              0              0              1              1              1            1            1            1              0              1              0              1              1             0
151     o5   o5_t1_cs_d2   o5_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
152     o5   o5_t1_cs_d2   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
153     o5   o5_t2_ap_d1   o5_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
154     o5   o5_t2_ap_d1   o5_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
155     o5   o5_t2_ap_d1   o5_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
156     o5   o5_t2_ap_d1   o5_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
157     o5   o5_t2_ap_d1   o5_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
158     o5   o5_t2_ap_d2   o5_t2_mf_d1              0              1              1              1              1            1            1            1              0              1              0              1              1             1
159     o5   o5_t2_ap_d2   o5_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
160     o5   o5_t2_ap_d2   o5_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
161     o5   o5_t2_ap_d2   o5_t2_rp_d2              0              0              0              0              0            0            1            0              0              0              0              0              0             1
162     o5   o5_t2_mf_d1   o5_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
163     o5   o5_t2_mf_d1   o5_t2_rp_d1              1              0              0              0              0            0            1            1              0              0              0              0              0             1
164     o5   o5_t2_mf_d1   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
165     o5   o5_t2_mf_d2   o5_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
166     o5   o5_t2_mf_d2   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
167     o5   o5_t2_rp_d1   o5_t2_rp_d2              0              1              1              1              1            0            0            0              1              1              1              1              0             0
168     o6   o6_t1_cs_d1   o6_t1_cs_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
169     o6   o6_t1_cs_d1   o6_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
170     o6   o6_t1_cs_d1   o6_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
171     o6   o6_t1_cs_d1   o6_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
172     o6   o6_t1_cs_d1   o6_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
173     o6   o6_t1_cs_d1   o6_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
174     o6   o6_t1_cs_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
175     o6   o6_t1_cs_d2   o6_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
176     o6   o6_t1_cs_d2   o6_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
177     o6   o6_t1_cs_d2   o6_t2_mf_d1              1              1              1              1              1            1            0            0              1              1              1              1              1             1
178     o6   o6_t1_cs_d2   o6_t2_mf_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
179     o6   o6_t1_cs_d2   o6_t2_rp_d1              1              1              1              1              1            1            1            0              1              0              1              1              1             1
180     o6   o6_t1_cs_d2   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
181     o6   o6_t2_ap_d1   o6_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
182     o6   o6_t2_ap_d1   o6_t2_mf_d1              1              1              0              1              0            0            0            0              1              0              1              0              0             1
183     o6   o6_t2_ap_d1   o6_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              1              0              0             0
184     o6   o6_t2_ap_d1   o6_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
185     o6   o6_t2_ap_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
186     o6   o6_t2_ap_d2   o6_t2_mf_d1              1              1              1              1              1            0            0            0              1              1              1              1              1             1
187     o6   o6_t2_ap_d2   o6_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              1              0              0             0
188     o6   o6_t2_ap_d2   o6_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              1             1
189     o6   o6_t2_ap_d2   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
190     o6   o6_t2_mf_d1   o6_t2_mf_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
191     o6   o6_t2_mf_d1   o6_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
