     Target    Comparison          Layer      Distance  DistanceInverted
85       o1   o1_t2_rp_d1    AlexNet_fc7      0.527074          0.590330
86       o1   o1_t2_rp_d1    AlexNet_fc8      1.192587          1.070618
87       o1   o1_t2_rp_d1  AlexNet_conv4     66.109108        146.525330
88       o1   o1_t2_rp_d1   AlexNet_prob      0.000109          0.000029
89       o1   o1_t2_rp_d1  AlexNet_conv3    217.991516        480.102692
90       o1   o1_t2_rp_d1  AlexNet_conv2    298.968781        567.700256
91       o1   o1_t2_rp_d1  AlexNet_conv1   5320.807129       8978.130859
92       o1   o1_t2_rp_d1  AlexNet_conv5     11.461261         25.474070
93       o1   o1_t2_rp_d1  AlexNet_norm2    357.899414        822.692932
94       o1   o1_t2_rp_d1  AlexNet_pool2    727.006531       1644.038696
95       o1   o1_t2_rp_d1  AlexNet_pool1  11622.936523      28885.222656
96       o1   o1_t2_rp_d1  AlexNet_norm1    404.228394        894.727600
97       o1   o1_t2_rp_d1  AlexNet_pool5     37.391800         81.609444
98       o1   o1_t2_rp_d2    AlexNet_fc6      5.901022          6.627298
99       o1   o1_t2_rp_d2    AlexNet_fc7      0.318455          0.324110
100      o1   o1_t2_rp_d2    AlexNet_fc8      0.490187          0.544716
101      o1   o1_t2_rp_d2  AlexNet_conv4    124.518402         99.044403
102      o1   o1_t2_rp_d2   AlexNet_prob      0.000040          0.000118
103      o1   o1_t2_rp_d2  AlexNet_conv3    371.485962        315.631409
104      o1   o1_t2_rp_d2  AlexNet_conv2    420.258026        428.020050
105      o1   o1_t2_rp_d2  AlexNet_conv1   6412.345703       6868.908691
106      o1   o1_t2_rp_d2  AlexNet_conv5     23.327162         17.467571
107      o1   o1_t2_rp_d2  AlexNet_norm2    622.060486        540.935669
108      o1   o1_t2_rp_d2  AlexNet_pool2   1203.675171       1080.080200
109      o1   o1_t2_rp_d2  AlexNet_pool1  19500.605469      19812.460938
110      o1   o1_t2_rp_d2  AlexNet_norm1    638.529846        651.115845
111      o1   o1_t2_rp_d2  AlexNet_pool5     66.750511         58.758633
112      o2   o2_t1_cs_d1    AlexNet_fc6     12.547894         11.229990
113      o2   o2_t1_cs_d1    AlexNet_fc7      0.997033          0.883562
