     Target    Comparison                         Layer      Distance
79       o1   o1_t2_mf_d2       AlexNet_finetuned_norm2  2.208154e+02
80       o1   o1_t2_mf_d2       AlexNet_finetuned_pool2  4.175339e+02
81       o1   o1_t2_mf_d2       AlexNet_finetuned_pool1  6.338862e+03
82       o1   o1_t2_mf_d2       AlexNet_finetuned_norm1  2.954678e+02
83       o1   o1_t2_mf_d2       AlexNet_finetuned_pool5  1.766567e+02
84       o1   o1_t2_rp_d1  AlexNet_finetuned_fc8_blocks  1.393339e+01
85       o1   o1_t2_rp_d1         AlexNet_finetuned_fc6  4.220470e+01
86       o1   o1_t2_rp_d1         AlexNet_finetuned_fc7  3.536509e+00
87       o1   o1_t2_rp_d1       AlexNet_finetuned_conv4  2.624750e+02
88       o1   o1_t2_rp_d1        AlexNet_finetuned_prob  2.690896e-03
89       o1   o1_t2_rp_d1       AlexNet_finetuned_conv3  3.742971e+02
90       o1   o1_t2_rp_d1       AlexNet_finetuned_conv2  3.036770e+02
91       o1   o1_t2_rp_d1       AlexNet_finetuned_conv1  5.119700e+03
92       o1   o1_t2_rp_d1       AlexNet_finetuned_conv5  1.159833e+02
93       o1   o1_t2_rp_d1       AlexNet_finetuned_norm2  3.882970e+02
94       o1   o1_t2_rp_d1       AlexNet_finetuned_pool2  7.600394e+02
95       o1   o1_t2_rp_d1       AlexNet_finetuned_pool1  1.099269e+04
96       o1   o1_t2_rp_d1       AlexNet_finetuned_norm1  4.574509e+02
97       o1   o1_t2_rp_d1       AlexNet_finetuned_pool5  3.486077e+02
98       o1   o1_t2_rp_d2  AlexNet_finetuned_fc8_blocks  9.062518e+00
99       o1   o1_t2_rp_d2         AlexNet_finetuned_fc6  6.690125e+01
100      o1   o1_t2_rp_d2         AlexNet_finetuned_fc7  4.792755e+00
101      o1   o1_t2_rp_d2       AlexNet_finetuned_conv4  5.351466e+02
102      o1   o1_t2_rp_d2        AlexNet_finetuned_prob  8.753378e-03
103      o1   o1_t2_rp_d2       AlexNet_finetuned_conv3  7.098080e+02
104      o1   o1_t2_rp_d2       AlexNet_finetuned_conv2  4.823392e+02
105      o1   o1_t2_rp_d2       AlexNet_finetuned_conv1  6.459083e+03
106      o1   o1_t2_rp_d2       AlexNet_finetuned_conv5  2.341202e+02
107      o1   o1_t2_rp_d2       AlexNet_finetuned_norm2  6.804833e+02
108      o1   o1_t2_rp_d2       AlexNet_finetuned_pool2  1.289689e+03
109      o1   o1_t2_rp_d2       AlexNet_finetuned_pool1  1.897958e+04
110      o1   o1_t2_rp_d2       AlexNet_finetuned_norm1  7.389734e+02
111      o1   o1_t2_rp_d2       AlexNet_finetuned_pool5  7.069288e+02
112      o2   o2_t1_cs_d1  AlexNet_finetuned_fc8_blocks  1.173139e+01
113      o2   o2_t1_cs_d1         AlexNet_finetuned_fc6  5.380894e+01
114      o2   o2_t1_cs_d1         AlexNet_finetuned_fc7  4.654082e+00
115      o2   o2_t1_cs_d1       AlexNet_finetuned_conv4  4.939285e+02
116      o2   o2_t1_cs_d1        AlexNet_finetuned_prob  2.095974e-05
117      o2   o2_t1_cs_d1       AlexNet_finetuned_conv3  7.721033e+02
118      o2   o2_t1_cs_d1       AlexNet_finetuned_conv2  5.412767e+02
119      o2   o2_t1_cs_d1       AlexNet_finetuned_conv1  7.531932e+03
120      o2   o2_t1_cs_d1       AlexNet_finetuned_conv5  1.474171e+02
121      o2   o2_t1_cs_d1       AlexNet_finetuned_norm2  7.484952e+02
122      o2   o2_t1_cs_d1       AlexNet_finetuned_pool2  1.479592e+03
